name,rating,review_count,price,location.city,coordinates.latitude,coordinates.longitude,categories,distance,full_address
Wat Mongkolratanaram,4.3,953,$,Berkeley,37.856425093302,-122.27067686843,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'buddhist_temples', 'title': 'Buddhist Temples'}]",1408.9647567591512,"1911 Russell St, Berkeley, CA 94703, USA"
Angeline's Louisiana Kitchen,4.1,5143,$$,Berkeley,37.8682447,-122.26758388625984,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'seafood', 'title': 'Seafood'}]",659.7285111315806,"2261 Shattuck Ave., Berkeley, CA 94704, USA"
Lao Garden,4.5,99,,Berkeley,37.860552,-122.289627,"[{'alias': 'laotian', 'title': 'Laotian'}]",1558.0026522795852,"2514 San Pablo Ave, Berkeley, CA 94702, USA"
Farmhouse Kitchen Thai Cuisine,4.7,890,,Berkeley,37.87859,-122.26878,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",1242.0818927401908,"1549 Shattuck Ave., Berkeley, CA 94709, USA"
Tipsea,4.5,164,$$,Berkeley,37.8670969,-122.2673551,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",699.0890851298403,"2327 Shattuck Ave., Berkeley, CA 94704, USA"
The Noodle Thai Restaurant,3.8,946,$$,Berkeley,37.87315,-122.26886,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'thai', 'title': 'Thai'}]",755.885610728055,"1930 Shattuck Ave. A, Berkeley, CA 94704, USA"
Roses On Adeline,4.5,98,,Berkeley,37.850212,-122.271278,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",2072.708702629093,"3218 Adeline St, Berkeley, CA 94703, USA"
Yin Ji Chang Fen - Berkeley,3.9,339,$$,Berkeley,37.8706571,-122.2685679,"[{'alias': 'cantonese', 'title': 'Cantonese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]",615.7676322709891,"2116 Shattuck Ave., Berkeley, CA 94704, USA"
Tacos Sinaloa,4.0,611,$,Berkeley,37.867214307189,-122.258953303099,"[{'alias': 'mexican', 'title': 'Mexican'}]",1417.1050458452864,"2386 Telegraph Ave, Berkeley, CA 94704, USA"
Smokehouse,3.8,748,$,Berkeley,37.8531726,-122.2597991,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",2178.7635439618016,"2343 Woolsey St, Berkeley, CA 94705, USA"
Me Va Con Vietnamese Kitchen,4.5,208,$$,Oakland,37.84748,-122.261137,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",2647.066410661367,"6101 Telegraph Ave, Oakland, CA 94609, USA"
